full_url,name,stars,price,address,lat,lon,features,rating_text,rating,mark,local,dist_local,dist_baikal,dist_aeroport,dist_railway,dist_beach,meal_type,dist_baikal_meters,url,number_reviews
https://101hotels.com/main/cities/shida/villa_peony.html,Villa Peony,,25000.0,"Шида, Озеро Байкал, Малое Море, Иркутская область, Ольхонский район, Бухта Мандархан, поселок Хужир",53.03789,106.82946,"['БАНЯ/САУНА', 'ОХОТА/УСЛУГИ ЕГЕРЯ', 'РЫБАЛКА', 'ДЕТСКАЯ ПЛОЩАДКА', 'АВТОСТОЯНКА']",,,,Шида,3.9 км,,,,,,,villa_peony.html,0
https://101hotels.com/main/cities/shida/gostevoy_dom_s_vidom_na_baykal.html,Гостевой дом С видом на Байкал,,1692.0,"Шида, Иркутская область, Ольхонский район, дп. Баруун-Хагун",53.02896,106.80189,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",,,,Шида,3.4 км,,,,,,,gostevoy_dom_s_vidom_na_baykal.html,0
https://101hotels.com/main/cities/huzhir/guest_house_nadezhda_8.html,Guest house Nadezhda,,3800.0,"Хужир, Таежная 10",53.18963,107.3481,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",ХОРОШО,8.7,63.0,Хужир,600 м,,,,,,,guest_house_nadezhda_8.html,0
https://101hotels.com/main/cities/huzhir/guesthouse_by_genadiy_malyshkin.html,Гостевой дом Геннадия Малышкина,,3500.0,"Хужир, ул. Байкальская, д. 42",53.192911,107.34513,[],НОРМАЛЬНО,7.8,4.0,Хужир,200 м,27.1 км,,,,,27100.0,guesthouse_by_genadiy_malyshkin.html,0
https://101hotels.com/main/cities/huzhir/home-olkhon.html,Home-Olkhon,,,"Хужир, Uyutnaya 16",53.19408,107.36121,['АВТОСТОЯНКА'],ОТЛИЧНО,9.4,59.0,Хужир,1.2 км,,,,,,,home-olkhon.html,0
https://101hotels.com/main/cities/huzhir/markov_guest_house.html,Markov guest house,,2300.0,"Хужир, Narodnaya 18",53.19734,107.35976,['ДЕТСКАЯ ПЛОЩАДКА'],ОЧЕНЬ ХОРОШО,9.1,22.0,Хужир,1.2 км,,,,,,,markov_guest_house.html,1
https://101hotels.com/main/cities/huzhir/olkhon_village_kharantsy.html,Olkhon Village Kharantsy,,12000.0,"Хужир, ул. Летняя 13",53.22282,107.42972,"['БАНЯ/САУНА', 'АВТОСТОЯНКА']",,,,Хужир,6.6 км,,,,,,,olkhon_village_kharantsy.html,0
https://101hotels.com/main/cities/huzhir/olkhon_chill_apartments.html,Olkhon_chill_apartments,,,"Хужир, 39 улица Ворошилова",53.20133,107.35063,[],,,,Хужир,1.0 км,,,,,,,olkhon_chill_apartments.html,0
https://101hotels.com/main/cities/huzhir/sunrise_guesthouse_1.html,Sunrise,,3400.0,"Хужир, ул. Первомайская, д. 25",53.196709,107.33771,[],ОТЛИЧНО,9.3,6.0,Хужир,500 м,27.6 км,,,,,27600.0,sunrise_guesthouse_1.html,0
https://101hotels.com/main/cities/sahyurta/ninas_guesthouse.html,Гостевой дом Нина,,1400.0,"Сахюрта, ул. Центральная, д. 2",53.016508,106.88076,['АВТОСТОЯНКА'],ПЛОХО,4.6,4.0,Сахюрта,300 м,11.1 км,,,,,11100.0,ninas_guesthouse.html,0
